"Step","dark-moon-25 - train/rmse_param_sig","dark-moon-25 - train/rmse_param_sig__MIN","dark-moon-25 - train/rmse_param_sig__MAX"
"88","66.98818969726562","66.98818969726562","66.98818969726562"
"89","67.16395568847656","67.16395568847656","67.16395568847656"
"90","67.33814239501953","67.33814239501953","67.33814239501953"
"91","67.51080322265625","67.51080322265625","67.51080322265625"
"92","67.68353271484375","67.68353271484375","67.68353271484375"
"93","67.85629272460938","67.85629272460938","67.85629272460938"
"94","68.02769470214844","68.02769470214844","68.02769470214844"
"95","68.197998046875","68.197998046875","68.197998046875"
"96","68.37014770507812","68.37014770507812","68.37014770507812"
"97","68.54058074951172","68.54058074951172","68.54058074951172"
"98","68.7118911743164","68.7118911743164","68.7118911743164"
"99","68.8818130493164","68.8818130493164","68.8818130493164"
"100","69.05006408691406","69.05006408691406","69.05006408691406"
"101","69.21722412109375","69.21722412109375","69.21722412109375"
"102","69.38249969482422","69.38249969482422","69.38249969482422"
"103","69.54518127441406","69.54518127441406","69.54518127441406"
"104","69.70781707763672","69.70781707763672","69.70781707763672"
"105","69.87000274658203","69.87000274658203","69.87000274658203"
"106","70.03199768066406","70.03199768066406","70.03199768066406"
"107","70.19298553466797","70.19298553466797","70.19298553466797"
"108","70.35301971435547","70.35301971435547","70.35301971435547"
"109","70.51087188720703","70.51087188720703","70.51087188720703"
"110","70.6659927368164","70.6659927368164","70.6659927368164"
"111","70.8192138671875","70.8192138671875","70.8192138671875"
