"Step","glamorous-snowflake-26 - train/rmse_param_sig","glamorous-snowflake-26 - train/rmse_param_sig__MIN","glamorous-snowflake-26 - train/rmse_param_sig__MAX"
"98","69.02259063720703","69.02259063720703","69.02259063720703"
"99","69.19601440429688","69.19601440429688","69.19601440429688"
"100","69.36729431152344","69.36729431152344","69.36729431152344"
"101","69.53709411621094","69.53709411621094","69.53709411621094"
"102","69.70789337158203","69.70789337158203","69.70789337158203"
"103","69.87714385986328","69.87714385986328","69.87714385986328"
"104","70.044677734375","70.044677734375","70.044677734375"
"105","70.21070861816406","70.21070861816406","70.21070861816406"
"106","70.37577819824219","70.37577819824219","70.37577819824219"
"107","70.54171752929688","70.54171752929688","70.54171752929688"
"108","70.70790100097656","70.70790100097656","70.70790100097656"
"109","70.87298583984375","70.87298583984375","70.87298583984375"
"110","71.03791046142578","71.03791046142578","71.03791046142578"
"111","71.20056915283203","71.20056915283203","71.20056915283203"
