"Step","lively-brook-27 - train/rmse_param_sig","lively-brook-27 - train/rmse_param_sig__MIN","lively-brook-27 - train/rmse_param_sig__MAX"
"59","53.149452209472656","53.149452209472656","53.149452209472656"
"60","53.13117599487305","53.13117599487305","53.13117599487305"
"61","53.09476852416992","53.09476852416992","53.09476852416992"
"62","53.06668472290039","53.06668472290039","53.06668472290039"
"63","53.032012939453125","53.032012939453125","53.032012939453125"
"64","52.99165725708008","52.99165725708008","52.99165725708008"
"65","52.97021484375","52.97021484375","52.97021484375"
"66","52.94646453857422","52.94646453857422","52.94646453857422"
"67","52.936832427978516","52.936832427978516","52.936832427978516"
"68","52.932273864746094","52.932273864746094","52.932273864746094"
"69","52.900917053222656","52.900917053222656","52.900917053222656"
"70","52.87910461425781","52.87910461425781","52.87910461425781"
"71","52.85319519042969","52.85319519042969","52.85319519042969"
"72","52.8445930480957","52.8445930480957","52.8445930480957"
"73","52.82033157348633","52.82033157348633","52.82033157348633"
"74","52.770355224609375","52.770355224609375","52.770355224609375"
"75","52.724090576171875","52.724090576171875","52.724090576171875"
"76","52.665802001953125","52.665802001953125","52.665802001953125"
"77","52.615562438964844","52.615562438964844","52.615562438964844"
"78","52.60458755493164","52.60458755493164","52.60458755493164"
"79","52.60902404785156","52.60902404785156","52.60902404785156"
"80","52.61056137084961","52.61056137084961","52.61056137084961"
"81","52.6461067199707","52.6461067199707","52.6461067199707"
"82","52.69451904296875","52.69451904296875","52.69451904296875"
"83","52.7472038269043","52.7472038269043","52.7472038269043"
"84","52.787227630615234","52.787227630615234","52.787227630615234"
"85","52.817909240722656","52.817909240722656","52.817909240722656"
"86","52.865447998046875","52.865447998046875","52.865447998046875"
"87","52.91370391845703","52.91370391845703","52.91370391845703"
"88","52.98352813720703","52.98352813720703","52.98352813720703"
"89","53.048709869384766","53.048709869384766","53.048709869384766"
"90","53.0931282043457","53.0931282043457","53.0931282043457"
"91","53.14897155761719","53.14897155761719","53.14897155761719"
"92","53.20905303955078","53.20905303955078","53.20905303955078"
"93","53.24663162231445","53.24663162231445","53.24663162231445"
"94","53.292633056640625","53.292633056640625","53.292633056640625"
"95","53.315406799316406","53.315406799316406","53.315406799316406"
"96","53.341670989990234","53.341670989990234","53.341670989990234"
"97","53.367576599121094","53.367576599121094","53.367576599121094"
"98","53.412784576416016","53.412784576416016","53.412784576416016"
"99","53.4369010925293","53.4369010925293","53.4369010925293"
"100","53.45732116699219","53.45732116699219","53.45732116699219"
"101","53.45537567138672","53.45537567138672","53.45537567138672"
"102","53.45656204223633","53.45656204223633","53.45656204223633"
"103","53.4495964050293","53.4495964050293","53.4495964050293"
"104","53.447105407714844","53.447105407714844","53.447105407714844"
"105","53.43911361694336","53.43911361694336","53.43911361694336"
"106","53.43142318725586","53.43142318725586","53.43142318725586"
"107","53.38481521606445","53.38481521606445","53.38481521606445"
"108","53.322532653808594","53.322532653808594","53.322532653808594"
"109","53.27881622314453","53.27881622314453","53.27881622314453"
"110","53.22880554199219","53.22880554199219","53.22880554199219"
"111","53.17800521850586","53.17800521850586","53.17800521850586"
