"Step","lively-brook-27 - train/rmse_param_sig","lively-brook-27 - train/rmse_param_sig__MIN","lively-brook-27 - train/rmse_param_sig__MAX","glamorous-snowflake-26 - train/rmse_param_sig","glamorous-snowflake-26 - train/rmse_param_sig__MIN","glamorous-snowflake-26 - train/rmse_param_sig__MAX","dark-moon-25 - train/rmse_param_sig","dark-moon-25 - train/rmse_param_sig__MIN","dark-moon-25 - train/rmse_param_sig__MAX","legendary-sponge-24 - train/rmse_param_sig","legendary-sponge-24 - train/rmse_param_sig__MIN","legendary-sponge-24 - train/rmse_param_sig__MAX"
"37","53.67896270751953","53.67896270751953","53.67896270751953","57.378990173339844","57.378990173339844","57.378990173339844","57.36388397216797","57.36388397216797","57.36388397216797","57.35051345825195","57.35051345825195","57.35051345825195"
"38","53.66476821899414","53.66476821899414","53.66476821899414","57.577510833740234","57.577510833740234","57.577510833740234","57.561431884765625","57.561431884765625","57.561431884765625","57.5463752746582","57.5463752746582","57.5463752746582"
"39","53.667484283447266","53.667484283447266","53.667484283447266","57.77733612060547","57.77733612060547","57.77733612060547","57.758018493652344","57.758018493652344","57.758018493652344","57.74256896972656","57.74256896972656","57.74256896972656"
"40","53.67760467529297","53.67760467529297","53.67760467529297","57.977691650390625","57.977691650390625","57.977691650390625","57.95493698120117","57.95493698120117","57.95493698120117","57.94034957885742","57.94034957885742","57.94034957885742"
"41","53.66936111450195","53.66936111450195","53.66936111450195","58.17656707763672","58.17656707763672","58.17656707763672","58.15290451049805","58.15290451049805","58.15290451049805","58.13792419433594","58.13792419433594","58.13792419433594"
"42","53.636844635009766","53.636844635009766","53.636844635009766","58.37620162963867","58.37620162963867","58.37620162963867","58.352012634277344","58.352012634277344","58.352012634277344","58.33622360229492","58.33622360229492","58.33622360229492"
"43","53.6103630065918","53.6103630065918","53.6103630065918","58.576995849609375","58.576995849609375","58.576995849609375","58.55107116699219","58.55107116699219","58.55107116699219","58.534820556640625","58.534820556640625","58.534820556640625"
"44","53.58600997924805","53.58600997924805","53.58600997924805","58.7793083190918","58.7793083190918","58.7793083190918","58.749305725097656","58.749305725097656","58.749305725097656","58.73297882080078","58.73297882080078","58.73297882080078"
"45","53.55716323852539","53.55716323852539","53.55716323852539","58.98064422607422","58.98064422607422","58.98064422607422","58.94718933105469","58.94718933105469","58.94718933105469","58.931461334228516","58.931461334228516","58.931461334228516"
"46","53.492427825927734","53.492427825927734","53.492427825927734","59.17963790893555","59.17963790893555","59.17963790893555","59.144622802734375","59.144622802734375","59.144622802734375","59.1291618347168","59.1291618347168","59.1291618347168"
"47","53.44984817504883","53.44984817504883","53.44984817504883","59.3791389465332","59.3791389465332","59.3791389465332","59.34163284301758","59.34163284301758","59.34163284301758","59.32671356201172","59.32671356201172","59.32671356201172"
"48","53.39362335205078","53.39362335205078","53.39362335205078","59.577484130859375","59.577484130859375","59.577484130859375","59.53939437866211","59.53939437866211","59.53939437866211","59.5242805480957","59.5242805480957","59.5242805480957"
"49","53.34788513183594","53.34788513183594","53.34788513183594","59.77644348144531","59.77644348144531","59.77644348144531","59.73614501953125","59.73614501953125","59.73614501953125","59.7209587097168","59.7209587097168","59.7209587097168"
"50","53.32337188720703","53.32337188720703","53.32337188720703","59.975040435791016","59.975040435791016","59.975040435791016","59.9323616027832","59.9323616027832","59.9323616027832","59.91898727416992","59.91898727416992","59.91898727416992"
"51","53.30118179321289","53.30118179321289","53.30118179321289","60.17447280883789","60.17447280883789","60.17447280883789","60.127384185791016","60.127384185791016","60.127384185791016","60.1173095703125","60.1173095703125","60.1173095703125"
"52","53.299495697021484","53.299495697021484","53.299495697021484","60.373748779296875","60.373748779296875","60.373748779296875","60.32178497314453","60.32178497314453","60.32178497314453","60.31644821166992","60.31644821166992","60.31644821166992"
"53","53.28649139404297","53.28649139404297","53.28649139404297","60.57250213623047","60.57250213623047","60.57250213623047","60.51567077636719","60.51567077636719","60.51567077636719","60.514583587646484","60.514583587646484","60.514583587646484"
"54","53.269081115722656","53.269081115722656","53.269081115722656","60.772010803222656","60.772010803222656","60.772010803222656","60.708534240722656","60.708534240722656","60.708534240722656","60.71275329589844","60.71275329589844","60.71275329589844"
"55","53.25998306274414","53.25998306274414","53.25998306274414","60.9720458984375","60.9720458984375","60.9720458984375","60.901248931884766","60.901248931884766","60.901248931884766","60.91167449951172","60.91167449951172","60.91167449951172"
"56","53.245094299316406","53.245094299316406","53.245094299316406","61.16978454589844","61.16978454589844","61.16978454589844","61.09259033203125","61.09259033203125","61.09259033203125","61.110870361328125","61.110870361328125","61.110870361328125"
"57","53.21890640258789","53.21890640258789","53.21890640258789","61.367401123046875","61.367401123046875","61.367401123046875","61.282806396484375","61.282806396484375","61.282806396484375","61.309417724609375","61.309417724609375","61.309417724609375"
"58","53.1873779296875","53.1873779296875","53.1873779296875","61.56521224975586","61.56521224975586","61.56521224975586","61.47111129760742","61.47111129760742","61.47111129760742","61.50736618041992","61.50736618041992","61.50736618041992"
"59","53.149452209472656","53.149452209472656","53.149452209472656","61.763221740722656","61.763221740722656","61.763221740722656","61.65867614746094","61.65867614746094","61.65867614746094","61.70555114746094","61.70555114746094","61.70555114746094"
"60","53.13117599487305","53.13117599487305","53.13117599487305","61.962310791015625","61.962310791015625","61.962310791015625","61.84635925292969","61.84635925292969","61.84635925292969","61.903568267822266","61.903568267822266","61.903568267822266"
"61","53.09476852416992","53.09476852416992","53.09476852416992","62.1603889465332","62.1603889465332","62.1603889465332","62.0340576171875","62.0340576171875","62.0340576171875","62.1019172668457","62.1019172668457","62.1019172668457"
"62","53.06668472290039","53.06668472290039","53.06668472290039","62.35944366455078","62.35944366455078","62.35944366455078","62.22044372558594","62.22044372558594","62.22044372558594","62.29976272583008","62.29976272583008","62.29976272583008"
"63","53.032012939453125","53.032012939453125","53.032012939453125","62.557533264160156","62.557533264160156","62.557533264160156","62.40805435180664","62.40805435180664","62.40805435180664","62.49673843383789","62.49673843383789","62.49673843383789"
"64","52.99165725708008","52.99165725708008","52.99165725708008","62.75548553466797","62.75548553466797","62.75548553466797","62.59672927856445","62.59672927856445","62.59672927856445","62.69451904296875","62.69451904296875","62.69451904296875"
"65","52.97021484375","52.97021484375","52.97021484375","62.952606201171875","62.952606201171875","62.952606201171875","62.78384780883789","62.78384780883789","62.78384780883789","62.89237976074219","62.89237976074219","62.89237976074219"
"66","52.94646453857422","52.94646453857422","52.94646453857422","63.14912414550781","63.14912414550781","63.14912414550781","62.97153854370117","62.97153854370117","62.97153854370117","63.09131622314453","63.09131622314453","63.09131622314453"
"67","52.936832427978516","52.936832427978516","52.936832427978516","63.34356689453125","63.34356689453125","63.34356689453125","63.158748626708984","63.158748626708984","63.158748626708984","63.29029846191406","63.29029846191406","63.29029846191406"
"68","52.932273864746094","52.932273864746094","52.932273864746094","63.537044525146484","63.537044525146484","63.537044525146484","63.345252990722656","63.345252990722656","63.345252990722656","63.48875427246094","63.48875427246094","63.48875427246094"
"69","52.900917053222656","52.900917053222656","52.900917053222656","63.72911834716797","63.72911834716797","63.72911834716797","63.530494689941406","63.530494689941406","63.530494689941406","63.68634796142578","63.68634796142578","63.68634796142578"
"70","52.87910461425781","52.87910461425781","52.87910461425781","63.919464111328125","63.919464111328125","63.919464111328125","63.71436309814453","63.71436309814453","63.71436309814453","63.883209228515625","63.883209228515625","63.883209228515625"
