Step,Ours,Naive,Planar
140,0.003862262012327470,0.009969136641356440,0.01536281743288190
141,0.005540760645090000,0.012248000440690400,0.017151124440333800
142,0.004652878127216670,0.011678927593113,0.01842092443048940
143,0.0033580004189216000,0.009639969682501350,0.018942654098860900
144,0.0023125376500577700,0.007739710191847130,0.01890443391775530
145,0.001885796950417870,0.006530309138735520,0.01884692816016920
146,0.0017437658271787700,0.005617786264276370,0.018712085259761800
147,0.0017539057687389900,0.004758706961060870,0.01848084355751510
148,0.0018763375984093700,0.003938479087645650,0.01766886727846800
149,0.002038841479791830,0.003316336359386910,0.017393556599381900
150,0.002183206606643270,0.002879013988870390,0.01754552991460340
151,0.002296043276520090,0.002508088588227010,0.017738928727875600
152,0.0024017432911523200,0.002145753078697620,0.01777831909292720
153,0.0024969198171827500,0.0017788458127350300,0.017618886081062600
154,0.0025835065953676900,0.0014522953307262400,0.01732474599655010
155,0.002621878840970310,0.0012275735959044100,0.017188887859275600
156,0.0026384427644437100,0.0010518755120032300,0.01712487237967380
157,0.002580455896683590,0.001257071377689700,0.016652458619647400
158,0.0025817489682109000,0.0014401209374638100,0.01627799671756870
159,0.0026674091850660400,0.0018566614494186500,0.01665514849864390
160,0.0028347101921050800,0.0021899716490481400,0.016814013325586900
161,0.0030997615209837200,0.0025955892231823800,0.01742566896433650
162,0.003409771276401720,0.0029383150634916000,0.0178482644341256
163,0.0038821479642505600,0.0034588876830674700,0.018036548558874000
164,0.004440980145298460,0.0040241814381370900,0.017426321970502500
165,0.0049868691927943400,0.0045102232118982200,0.016810332844785400
166,0.005071948715977340,0.004501195281667430,0.015031356264874100
167,0.005303005683992450,0.0046422785335055,0.01388268243609600
168,0.005645545170105500,0.004872998519935420,0.01325161155373220
169,0.005983518606064850,0.005065180398960060,0.012941193947278500
170,0.006289808855473530,0.005215236526400090,0.012879500103110700
171,0.006563774837594510,0.005303427801318020,0.012899297669551900
172,0.0062258273170712100,0.004778884523142580,0.012862463498254800
173,0.005995517910522920,0.004334920255492130,0.01300938103429320
174,0.005870564741191010,0.00407462838835691,0.013426403510180600
175,0.005729857510342450,0.003680000870976000,0.013550433712480100
176,0.005602231197653760,0.003294506846106440,0.013656330006872500
177,0.005591608333640420,0.003049788794155030,0.013885147438407900
178,0.005761382057567070,0.0032085279717386800,0.01434417611065110
179,0.005973078055167650,0.0033915497106640300,0.014863772185687500
180,0.006167323079226500,0.003537490971217020,0.015228710035650000
181,0.006309319251751060,0.003977107119975460,0.015270665523198000
182,0.006865615252237090,0.0049351237031221,0.015624989104165800
183,0.006741076001816380,0.005234375822166690,0.015780470842680500
184,0.0066497890867026100,0.00547737114075187,0.01576975783897550
185,0.006584516809287560,0.0056662785940502,0.015477582318081300
186,0.0058744791067708500,0.005127423790026380,0.014923057328712500
187,0.005232613062185620,0.0046108654132297700,0.014327115873951700
188,0.004836598615807750,0.00435527999279424,0.0141337475809155
189,0.004542879887280430,0.004106449087216640,0.013699640373077200
190,0.0042835198220790600,0.003833566620445580,0.013267291183911600
191,0.004049455364457520,0.0035552351453715600,0.012937835190237100
192,0.003975578802462200,0.0034265217032506900,0.012984514846092700
193,0.004282429974875000,0.0038613414773799000,0.013827800099270000
194,0.004748687577994080,0.004460118125142490,0.014974605718135700
195,0.00518946801208997,0.004948609908160960,0.016091263551716900
196,0.005595431018199300,0.005362825272063970,0.0171166066905059
197,0.005816678625354840,0.0057997799995282800,0.017772038452703400
198,0.006216102331576800,0.006419525427266780,0.018764217430272200
199,0.006698188809317500,0.007118859242907600,0.019511708408659500
200,0.007136563108453930,0.007701020208911940,0.019717716914248500
201,0.007279932654047940,0.008032940481787660,0.019224242489800600
202,0.0074032798102036900,0.008232260819462970,0.018436958726282000
203,0.007639654689575410,0.008502184504812700,0.017860086930343300
204,0.008019873108225420,0.008927476865753210,0.017573076925314900
205,0.008361336552945780,0.009268720005563380,0.017205135169683700
206,0.008786774028685540,0.009665673618840470,0.017016432260781200
207,0.009169897420242340,0.00998172684066908,0.01678551753162340
208,0.009518261116421570,0.010214080469258000,0.01652092266840020
209,0.009827995086105070,0.010325742331736600,0.01617708415597240
210,0.00911482815091986,0.009144143364500400,0.015218286156219900
211,0.008471111357711900,0.008055679497434870,0.014346013128834800
212,0.008276488828353980,0.007566201442043910,0.01395205911320490
213,0.008101082705464080,0.007108935520200240,0.013605636688888600
214,0.007937716230753170,0.006633967596242440,0.013276913422755400
